Source;Target;Type;Weight
590;582;Direct;1
590;600;Direct;1
590;431;Direct;1
590;221;Direct;1
590;61;Direct;1
590;446;Direct;1
590;761;Direct;1
590;104;Direct;1
590;484;Direct;1
590;791;Direct;1
590;135;Direct;1
590;553;Direct;1
590;1300;Direct;1
590;1205;Direct;1
603;683;Direct;1
603;1023;Direct;1
603;911;Direct;1
603;602;Direct;1
603;939;Direct;1
615;135;Direct;1
615;1118;Direct;1
615;660;Direct;1
615;616;Direct;1
615;1105;Direct;1
615;1023;Direct;1
615;1268;Direct;1
615;1089;Direct;1
615;1088;Direct;1
618;1118;Direct;1
618;660;Direct;1
618;1219;Direct;1
618;793;Direct;1
618;476;Direct;1
618;847;Direct;1
618;1100;Direct;1
618;843;Direct;1
618;265;Direct;1
618;446;Direct;1
618;61;Direct;1
618;293;Direct;1
618;852;Direct;1
618;252;Direct;1
618;939;Direct;1
618;777;Direct;1
618;557;Direct;1
618;1227;Direct;1
618;786;Direct;1
618;859;Direct;1
618;789;Direct;1
618;1007;Direct;1
618;945;Direct;1
618;582;Direct;1
618;1023;Direct;1
618;911;Direct;1
618;221;Direct;1
618;1105;Direct;1
916;793;Direct;1
916;1118;Direct;1
916;786;Direct;1
916;310;Direct;1
916;276;Direct;1
916;277;Direct;1
916;582;Direct;1
916;945;Direct;1
916;484;Direct;1
916;1071;Direct;1
916;1109;Direct;1
916;1226;Direct;1
916;104;Direct;1
916;1298;Direct;1
916;961;Direct;1
916;452;Direct;1
916;553;Direct;1
916;835;Direct;1
916;847;Direct;1
916;1258;Direct;1
916;316;Direct;1
625;1219;Direct;1
625;1139;Direct;1
625;881;Direct;1
625;793;Direct;1
625;310;Direct;1
625;1163;Direct;1
625;609;Direct;1
625;1054;Direct;1
625;151;Direct;1
625;1118;Direct;1
625;1160;Direct;1
625;939;Direct;1
625;945;Direct;1
625;1218;Direct;1
625;847;Direct;1
625;502;Direct;1
625;135;Direct;1
625;221;Direct;1
625;12;Direct;1
625;933;Direct;1
625;582;Direct;1
625;1239;Direct;1
625;513;Direct;1
625;275;Direct;1
625;1226;Direct;1
625;1105;Direct;1
625;1100;Direct;1
625;1205;Direct;1
625;449;Direct;1
625;1241;Direct;1
625;293;Direct;1
625;167;Direct;1
625;1173;Direct;1
625;1102;Direct;1
625;493;Direct;1
625;660;Direct;1
625;854;Direct;1
625;955;Direct;1
625;130;Direct;1
625;1023;Direct;1
625;183;Direct;1
625;446;Direct;1
625;436;Direct;1
625;914;Direct;1
625;993;Direct;1
625;379;Direct;1
625;1143;Direct;1
625;1087;Direct;1
630;793;Direct;1
630;660;Direct;1
630;1118;Direct;1
630;609;Direct;1
630;1219;Direct;1
630;600;Direct;1
630;582;Direct;1
630;1226;Direct;1
630;502;Direct;1
630;221;Direct;1
630;446;Direct;1
